id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
F11,0,0.08,0.26,0.09,0.1,0.13,0.09,0.25,0.2,0.1,0.09,0,0.09,0.06,0.2,0.16,0.17,0.26,0.59,0.11,0.08,0.16,0.12,0.14,0.14,0.07,0.26,0.07,0.1,0.28,0.04,0.14,0.11,0.11,0.21,0.15,0.15,0.15,0.06,0.1,0.08,0.14,0.08,0.11,0.03,0.08,0.04,0.29,0.13,0.09,0.06,0.17,0.14,0.1,0.24,0.31,0.38,0.11,0.13,0.11,0.13,0.2,0.05,0.31,0.39,0.27,0.2,0.26,0.07,0.2,0.13,0.31,0.15,0.13,0.08,0.11,0.1,0.06,0.12,0.19,0.08,0.06,0.07,0.04,0.07,0.03,0.16,0.04,0.07,0.12,0.09,0.37,0.25,0.3,0.07,0.13,0.14,0.1,0.21,0.19,0.09,0.07,0.27,0.55,0.43,0.08,0.06,0.11,0.12,0.14,0.1,0.22,0.24,0.26,0.16,0.08,0.17,0.08,0.07,0.14,0.06,0.11,0.09,0.17,0.11,0.16,0.07,0.25,0.35,0.17,0.1,0.21,0.26,0.07,0.31,0.13,0.05,0.11,0.4,0.22,0.22,0.13,0.09,0.2,0.21,0.24
F12,0,0.1,0.16,0.12,0.08,0.09,0.15,0.34,0.33,0.19,0.07,0.17,0,0.04,0.17,0.1,0.17,0.12,0.38,0.1,0.28,0.21,0.15,0.15,0.12,0.04,0.2,0.22,0.17,0.2,0.07,0.21,0.29,0.29,0.13,0.15,0.11,0.1,0.09,0.12,0.1,0.05,0.13,0.12,0.03,0.14,0.04,0.1,0.23,0.18,0.06,0.24,0.22,0.23,0.37,0.28,0.37,0.06,0.09,0.11,0.3,0.27,0.18,0.33,0.54,0.14,0.73,0.21,0.15,0.23,0.17,0.2,0.32,0.13,0.16,0.09,0.22,0.06,0.06,0.16,0.14,0.03,0.1,0.06,0.04,0.04,0.1,0.05,0.05,0.19,0.05,0.56,0.25,0.27,0.06,0.15,0.16,0.11,0.35,0.08,0.06,0.08,0.2,0.21,0.66,0.09,0.23,0.21,0.32,0.16,0.17,0.59,0.21,0.56,0.22,0.1,0.15,0.14,0.13,0.21,0.11,0.12,0.14,0.26,0.17,0.27,0.1,0.56,0.25,0.24,0.17,0.44,0.21,0.19,0.81,0.14,0.16,0.18,0.37,0.6,0.4,0.22,0.26,0.24,0.18,0.22
F13,0,0.39,0.15,0.12,0.1,0.16,0.04,0.23,0.1,0.13,0.1,0.22,0.09,0,0.17,0.11,1,0.18,0.32,0.14,0.14,0.17,0.07,0.17,0.17,0.08,0.15,0.16,0.12,0.57,0.07,0.12,0.21,0.21,0.15,0.1,0.11,0.27,0.09,0.2,0.1,0.06,0.07,0.21,0.03,0.19,0.03,0.13,0.25,0.25,0.04,0.17,0.06,0.21,0.22,0.26,0.15,0.09,0.13,0.08,0.14,0.12,0.19,0.56,0.15,0.24,0.35,0.23,0.18,0.28,0.12,0.45,0.22,0.43,0.19,0.13,0.22,0.05,0.08,0.1,0.11,0.04,0.05,0.04,0.15,0.02,0.3,0.09,0.36,0.1,0.11,0.29,0.29,0.27,0.04,0.2,0.15,0.13,0.19,0.08,0.15,0.06,0.19,0.23,0.18,0.18,0.07,0.09,0.24,0.08,0.12,0.24,0.24,0.22,0.21,0.1,0.18,0.09,0.05,0.09,0.05,0.11,0.12,0.16,0.22,0.39,0.05,0.09,0.17,0.18,0.09,0.18,0.16,0.19,0.25,0.12,0.12,0.17,0.24,0.24,0.19,0.21,0.08,0.16,0.2,0.17
F14,0,0.07,0.1,0.09,0.18,0.2,0.08,0.56,0.27,0.12,0.07,0.22,0.1,0.05,0,0.18,0.13,0.2,0.28,0.14,0.2,0.17,0.13,0.1,0.13,0.08,0.21,0.17,0.22,0.54,0.06,0.17,0.23,0.23,0.13,0.1,0.52,0.19,0.13,0.03,0.08,0.07,0.09,0.07,0.04,0.18,0.04,0.06,0.28,0.17,0.1,0.2,0.07,0.11,0.23,0.25,0.32,0.07,0.1,0.14,0.38,0.2,0.07,0.33,0.38,0.11,0.49,0.63,0.1,0.3,0.09,0.32,0.24,0.25,0.1,0.15,0.21,0.05,0.11,0.24,0.18,0.03,0.05,0.07,0.1,0.03,0.22,0.05,0.08,0.1,0.08,0.6,0.2,0.23,0.07,0.29,0.09,0.09,0.27,0.11,0.1,0.12,0.17,0.19,0.3,0.07,0.13,0.21,0.16,0.2,0.22,0.39,0.3,0.31,0.23,0.08,0.24,0.07,0.08,0.1,0.09,0.28,0.24,0.27,0.15,0.33,0.13,0.2,0.21,0.13,0.14,0.46,0.26,0.24,0.2,0.45,0.07,0.1,0.35,0.36,0.21,0.13,0.09,0.32,0.1,0.36
F15,0,0.15,0.06,0.18,0.14,0.12,0.05,0.13,0.28,0.19,0.14,0.25,0.09,0.04,0.25,0,0.14,0.1,0.16,0.3,0.21,0.22,0.19,0.14,0.09,0.08,0.18,0.09,0.27,0.45,0.17,0.09,0.23,0.23,0.19,0.18,0.06,0.07,0.14,0.07,0.11,0.05,0.09,0.19,0.04,0.08,0.03,0.08,0.24,0.2,0.08,0.09,0.13,0.1,0.2,0.11,0.22,0.06,0.11,0.09,0.32,0.16,0.13,0.24,0.44,0.07,0.43,0.12,0.08,0.29,0.28,0.26,0.1,0.24,0.12,0.16,0.09,0.12,0.11,0.1,0.06,0.05,0.14,0.09,0.08,0.04,0.08,0.06,0.09,0.11,0.06,0.36,0.1,0.21,0.05,0.15,0.51,0.15,0.37,0.07,0.07,0.07,0.1,0.25,0.3,0.18,0.08,0.18,0.23,0.13,0.27,0.34,0.4,0.4,0.22,0.11,0.2,0.11,0.05,0.24,0.11,0.24,0.14,0.24,0.3,0.29,0.11,0.31,0.28,0.06,0.08,0.33,0.2,0.47,0.13,0.1,0.05,0.13,0.43,0.35,0.23,0.22,0.16,0.31,0.19,0.54
F16,0,0.22,0.12,0.47,0.09,0.38,0.11,0.18,0.39,0.72,0.18,0.67,0.36,1,0.46,0.36,0,0.18,0.34,0.05,0.59,0.17,0.33,0.4,0.18,0.09,0.27,0.21,0.62,0.38,0.11,0.15,0.58,0.58,0.22,0.1,0.13,0.17,1,0.17,0.23,0.04,1,0.1,0.16,0.36,0.14,0.07,0.58,0.78,1,0.13,0.13,0.15,0.47,0.24,0.55,0.1,0.2,0.31,0.35,1,0.04,0.69,0.49,0.05,0.68,0.77,0.3,0.63,0.18,0.54,0.27,0.53,0.42,0.93,0.1,0.48,0.3,0.54,1,0.09,0.23,0.25,0.08,0.05,0.21,0.32,0.07,0.13,0.12,0.46,0.16,0.51,0.03,0.29,0.21,0.23,0.67,0.1,0.2,0.07,0.26,0.06,0.36,0.33,0.21,1,0.82,0.19,0.62,0.61,0.63,0.86,0.46,0.23,0.24,0.23,0.42,0.31,0.53,0.13,0.22,0.94,0.31,0.72,0.1,1,0.43,0.1,0.15,0.89,0.04,0.48,0.11,0.17,0.16,0.22,0.39,0.32,1,0.5,0.67,0.97,0.89,0.4
F17,0,0.1,0.11,0.08,0.15,0.51,0.11,0.14,0.4,0.23,0.06,0.61,0.15,0.11,0.43,0.16,0.11,0,0.09,0.12,0.19,0.16,0.27,0.29,0.09,0.03,0.14,0.08,0.14,0.53,0.11,0.22,0.17,0.17,0.17,0.15,0.22,0.12,0.06,0.07,0.07,0.03,0.14,1,0.05,0.06,0.07,0.06,0.41,0.25,0.1,0.12,0.08,0.1,0.12,0.16,0.23,0.05,0.07,0.09,0.15,0.1,0,0.26,0.36,0.23,0.22,0.39,0.12,0.27,0.28,0.16,0.91,0.29,0.11,0.18,0.17,0.05,0.08,0.12,0.08,0.06,0.11,0.1,0.08,0.05,0.08,0.06,0.33,0.11,0.11,0.63,0.18,0.4,0.23,0.23,0.13,0.33,0.25,0.09,0.05,0.09,0.22,0.09,0.13,0.3,0.07,0.04,0.13,0.08,0.14,0.29,0.22,0.33,0.1,0.07,0.16,0.06,0.06,0.18,0.09,0.13,0.14,0.33,0.17,0.32,0.06,0.13,0.11,0.15,0.11,0.36,0.09,0.17,0.22,0.12,0.05,0.1,0.38,0.26,0.18,0.21,0.1,0.2,0.16,0.36
F18,0,0.09,0.06,0.16,0.14,0.29,0.06,0.15,0.18,0.28,0.08,0.71,0.25,0.1,0.31,0.13,0.11,0.05,0,0.11,0.21,0.1,0.15,0.16,0.05,0.04,0.15,0.03,0.25,0.2,0.08,0.23,0.23,0.23,0.19,0.15,0.13,0.07,0.03,0.08,0.04,0.09,0.1,0.08,0.04,0.08,0.08,0.08,0.58,0.18,0.1,0.12,0.11,0.05,0.13,0.09,0.17,0.07,0.07,0.07,1,0.17,0.21,0.27,0.18,0.05,0.36,0.23,0.12,0.33,0.26,0.23,0.22,0.22,0.13,0.24,0.24,0.11,0.12,0.06,0.07,0.11,0.04,0.19,0.08,0.04,0.11,0.09,0.11,0.13,0.06,0.47,0.07,0.22,0.1,0.74,0.19,0.18,0.43,0.08,0.06,0.03,0.11,0.09,0.27,0.12,0.08,0.07,0.2,0.06,0.25,0.23,0.21,0.23,0.09,0.04,0.15,0.07,0.06,0.1,0.06,0.17,0.13,0.37,0.19,0.32,0.06,0.25,0.08,0.14,0.14,0.09,0.12,0.14,0.1,0.06,0.07,0.11,0.36,0.31,0.21,0.24,0.11,0.22,0.12,0.27
F19,0,1,0.14,0.28,0.09,0.17,0.25,0.32,0.24,0.31,0.14,0.31,0.14,0.09,0.34,0.53,0.03,0.13,0.24,0,0.52,0.28,0.2,0.28,0.2,0.08,0.29,1,0.22,0.95,0.08,0.12,0.36,0.36,0.21,0.07,0.1,0.11,0.03,0.08,0.14,0.29,0.18,0.11,0.05,0.07,0.13,0.09,1,0.37,0.13,0.1,0.13,0.05,0.42,0.43,0.44,0.04,0.24,0.52,0.12,0.9,0.1,0.29,0.42,0.41,0.17,1,0.41,0.62,0.47,0.38,0.19,0.4,0.14,0.26,0.08,0.05,0.51,0.13,0.24,0.62,0.38,0.13,0.06,0.03,0.19,0.14,0.1,0.04,0.17,0.45,0.13,0.31,0.05,0.46,0.43,0.2,0.41,0.06,0.29,0.07,0.31,0.21,0.09,1,0.09,0.26,0.53,0.26,0.22,0.21,0.79,0.43,0.21,0.14,0.32,0.11,0.1,0.13,0.21,0.22,0.27,0.44,0.28,0.59,0.03,0.14,0.24,0.27,0.21,0.69,0.24,0.19,0.19,0.05,0.21,0.3,0.84,0.74,0.65,0.38,0.33,0.47,0.07,0.31
F20,0,0.5,0.2,0.07,0.2,0.15,0.06,0.28,0.14,0.11,0.07,0.12,0.23,0.05,0.27,0.2,0.22,0.12,0.25,0.29,0,0.09,0.06,0.14,0.13,0.08,0.29,0.09,0.18,0.33,0.04,0.14,0.11,0.11,0.19,0.17,0.23,0.2,0.08,0.14,0.04,0.06,0.05,0.13,0.02,0.14,0.08,0.23,0.25,0.08,0.06,0.26,0.11,0.08,0.31,0.6,0.2,0.12,0.14,0.09,0.29,0.13,0.17,0.39,0.33,0.11,0.35,0.26,0.11,0.32,0.24,0.4,0.49,0.17,0.18,0.12,0.42,0.06,0.12,0.09,0.07,0.08,0.03,0.05,0.09,0.03,0.23,0.07,0.22,0.18,0.09,0.48,0.19,0.15,0.09,0.2,0.07,0.15,0.22,0.08,0.05,0.04,0.28,0.24,0.27,0.05,0.07,0.08,0.14,0.06,0.18,0.3,0.18,0.23,0.14,0.04,0.11,0.09,0.06,0.17,0.05,0.1,0.09,0.14,0.1,0.17,0.04,0.15,0.16,0.11,0.07,0.28,0.19,0.11,0.37,0.12,0.05,0.09,0.54,0.21,0.21,0.07,0.08,0.09,0.16,0.24
