@RELATION doneTrendMicro_JJVB_TF_MIX

@ATTRIBUTE id {F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F6,F7,F8,F9,T1,T2,T3,T4,T5,T6,T7}
@ATTRIBUTE label {0,1}
@ATTRIBUTE col1 REAL
@ATTRIBUTE col2 REAL
@ATTRIBUTE col3 REAL
@ATTRIBUTE col4 REAL
@ATTRIBUTE col5 REAL
@ATTRIBUTE col6 REAL
@ATTRIBUTE col7 REAL
@ATTRIBUTE col8 REAL
@ATTRIBUTE col9 REAL
@ATTRIBUTE col10 REAL
@ATTRIBUTE col11 REAL
@ATTRIBUTE col12 REAL
@ATTRIBUTE col13 REAL
@ATTRIBUTE col14 REAL
@ATTRIBUTE col15 REAL
@ATTRIBUTE col16 REAL
@ATTRIBUTE col17 REAL
@ATTRIBUTE col18 REAL
@ATTRIBUTE col19 REAL
@ATTRIBUTE col20 REAL
@ATTRIBUTE col21 REAL
@ATTRIBUTE col22 REAL
@ATTRIBUTE col23 REAL
@ATTRIBUTE col24 REAL
@ATTRIBUTE col25 REAL
@ATTRIBUTE col26 REAL
@ATTRIBUTE col27 REAL
@ATTRIBUTE col28 REAL
@ATTRIBUTE col29 REAL
@ATTRIBUTE col30 REAL
@ATTRIBUTE col31 REAL
@ATTRIBUTE col32 REAL
@ATTRIBUTE col33 REAL
@ATTRIBUTE col34 REAL
@ATTRIBUTE col35 REAL
@ATTRIBUTE col36 REAL
@ATTRIBUTE col37 REAL
@ATTRIBUTE col38 REAL
@ATTRIBUTE col39 REAL
@ATTRIBUTE col40 REAL
@ATTRIBUTE col41 REAL
@ATTRIBUTE col42 REAL
@ATTRIBUTE col43 REAL
@ATTRIBUTE col44 REAL
@ATTRIBUTE col45 REAL
@ATTRIBUTE col46 REAL
@ATTRIBUTE col47 REAL
@ATTRIBUTE col48 REAL
@ATTRIBUTE col49 REAL
@ATTRIBUTE col50 REAL
@ATTRIBUTE col51 REAL
@ATTRIBUTE col52 REAL
@ATTRIBUTE col53 REAL
@ATTRIBUTE col54 REAL
@ATTRIBUTE col55 REAL
@ATTRIBUTE col56 REAL
@ATTRIBUTE col57 REAL
@ATTRIBUTE col58 REAL
@ATTRIBUTE col59 REAL
@ATTRIBUTE col60 REAL
@ATTRIBUTE col61 REAL
@ATTRIBUTE col62 REAL
@ATTRIBUTE col63 REAL

@DATA
F11,0,0.34,0.32,0.12,0.08,0.42,0.51,0.5,0.18,0.33,0.32,0,0.3,0.28,0.29,0.27,0.32,0.13,0.5,0.27,0.49,0.36,0.48,0.29,0.19,0.32,0.34,0.18,0.39,0.29,0.17,0.29,0.34,0.22,0.15,0.33,0.41,0.57,0.21,0.38,0.23,0.18,0.14,0.33,0.48,0.27,0.39,0.38,0.3,0.22,0.34,0.37,0.13,0.13,0.22,0.28,0.23,0.33,0.25,0.31,0.46,0.41,0.19,0.69
F12,0,0.46,0.33,0.18,0.08,0.31,0.31,0.37,0.16,0.33,0.28,0.25,0,0.3,0.28,0.33,0.28,0.19,0.27,0.21,0.43,0.42,0.41,0.15,0.28,0.33,0.49,0.14,0.42,0.31,0.34,0.37,0.41,0.26,0.26,0.38,0.33,0.38,0.16,0.35,0.27,0.16,0.27,0.32,0.47,0.46,0.6,0.53,0.33,0.16,0.34,0.25,0.23,0.13,0.25,0.29,0.3,0.25,0.29,0.36,0.4,0.27,0.16,0.32
F13,0,0.4,0.28,0.12,0.1,0.3,0.46,0.35,0.14,0.35,0.33,0.21,0.28,0,0.28,0.22,0.32,0.16,0.38,0.27,0.36,0.31,0.44,0.13,0.26,0.3,0.38,0.18,0.28,0.39,0.27,0.31,0.36,0.2,0.19,0.38,0.35,0.38,0.18,0.26,0.28,0.14,0.14,0.29,0.46,0.44,0.55,0.42,0.27,0.17,0.3,0.36,0.22,0.12,0.23,0.21,0.23,0.29,0.29,0.31,0.27,0.23,0.18,0.41
F14,0,0.26,0.33,0.09,0.07,0.43,0.41,1,0.21,0.48,0.33,0.25,0.3,0.31,0,0.35,0.33,0.18,0.37,0.17,0.59,0.29,0.36,0.17,0.4,0.25,0.35,0.18,0.38,0.36,0.47,0.5,0.45,0.25,0.18,0.39,0.58,0.3,0.22,0.37,0.31,0.25,0.26,0.39,0.4,0.44,0.49,0.74,0.36,0.19,0.35,0.52,0.22,0.13,0.17,0.3,0.23,0.31,0.19,0.27,0.38,0.19,0.2,0.6
F15,0,1,0.54,0.15,0.15,0.73,1,0.99,0.27,0.59,1,0.38,0.58,0.41,0.57,0,0.41,0.19,0.42,0.54,0.57,0.58,0.9,0.26,0.81,0.55,0.48,0.35,0.26,0.49,0.58,0.63,1,0.34,0.2,1,0.72,0.84,0.27,0.52,0.59,0.28,0.65,0.71,1,0.55,0.79,0.91,1,0.25,0.58,0.78,0.28,0.18,0.31,0.4,0.44,0.44,0.43,0.29,0.48,0.29,0.29,0.56
F16,0,0.45,0.34,0.23,0.15,0.31,0.38,0.57,0.16,0.34,0.37,0.37,0.4,0.48,0.45,0.33,0,0.16,0.33,0.37,0.88,0.36,0.62,0.33,0.69,0.5,0.49,0.2,0.62,0.62,0.33,0.56,0.49,0.27,0.28,0.46,0.53,0.56,0.25,0.38,0.44,0.26,0.43,0.25,0.37,0.33,0.36,0.37,0.35,0.28,0.35,0.62,0.38,0.29,0.21,0.37,0.4,0.48,0.36,0.36,0.55,0.35,0.24,0.95
F17,0,0.54,0.42,0.14,0.1,0.39,0.41,0.56,0.22,0.38,0.44,0.26,0.48,0.43,0.41,0.28,0.27,0,0.42,0.43,0.62,0.4,0.48,0.58,0.71,0.46,0.42,0.19,0.42,0.43,0.35,0.59,0.47,0.35,0.21,0.65,0.61,0.56,0.23,0.37,0.32,0.23,0.38,0.56,0.8,0.43,0.54,0.54,0.54,0.18,0.29,0.55,0.28,0.17,0.15,0.35,0.51,0.45,0.37,0.29,0.59,0.45,0.19,0.62
F18,0,0.53,0.39,0.2,0.11,0.77,0.45,0.59,0.36,0.79,0.32,0.58,0.39,0.57,0.5,0.35,0.34,0.25,0,0.33,0.63,0.45,0.48,0.11,0.51,0.4,0.69,0.19,0.16,0.58,0.39,0.43,0.36,0.37,0.28,0.43,0.59,0.55,0.3,0.44,0.26,0.26,0.39,0.35,0.56,0.61,0.59,1,0.6,0.17,0.21,0.52,0.35,0.31,0.23,0.25,0.4,0.35,0.43,0.51,0.42,0.26,0.32,0.8
F19,0,0.52,0.32,0.2,0.08,0.35,0.51,0.49,0.2,0.36,0.2,0.28,0.27,0.35,0.2,0.39,0.33,0.22,0.29,0,0.67,0.31,0.42,0.3,0.33,0.26,0.41,0.11,0.29,0.27,0.36,0.49,0.56,0.29,0.18,0.41,0.31,0.35,0.16,0.31,0.25,0.13,0.17,0.47,0.43,0.58,0.59,0.62,0.48,0.17,0.36,0.57,0.2,0.11,0.23,0.33,0.23,0.32,0.28,0.43,0.46,0.21,0.28,0.77
F20,0,0.34,0.5,0.25,0.19,0.74,0.43,0.52,0.28,0.34,0.48,0.41,0.44,0.39,0.57,0.34,0.63,0.26,0.45,0.54,0,0.37,0.73,0.19,0.22,0.35,0.42,0.3,0.31,0.35,0.27,0.25,0.63,0.35,0.34,0.32,0.47,0.36,0.35,0.47,0.38,0.58,0.27,0.25,0.48,0.29,0.44,0.49,0.33,0.29,0.39,0.28,0.33,0.17,0.41,0.32,0.36,0.42,0.29,0.33,0.22,0.42,0.31,0.5
