@RELATION doneJJ_TF_MIX

@ATTRIBUTE filename {F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F6,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F7,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F8,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F9,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T2,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T3,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T4,T40,T41,T42,T43,T44,T45,T46,T5,T6,T7,T8,T9}
@ATTRIBUTE label {0,1}
@ATTRIBUTE col1 REAL
@ATTRIBUTE col2 REAL
@ATTRIBUTE col3 REAL
@ATTRIBUTE col4 REAL
@ATTRIBUTE col5 REAL
@ATTRIBUTE col6 REAL
@ATTRIBUTE col7 REAL
@ATTRIBUTE col8 REAL
@ATTRIBUTE col9 REAL
@ATTRIBUTE col10 REAL
@ATTRIBUTE col11 REAL
@ATTRIBUTE col12 REAL
@ATTRIBUTE col13 REAL
@ATTRIBUTE col14 REAL
@ATTRIBUTE col15 REAL
@ATTRIBUTE col16 REAL
@ATTRIBUTE col17 REAL
@ATTRIBUTE col18 REAL
@ATTRIBUTE col19 REAL
@ATTRIBUTE col20 REAL
@ATTRIBUTE col21 REAL
@ATTRIBUTE col22 REAL
@ATTRIBUTE col23 REAL
@ATTRIBUTE col24 REAL
@ATTRIBUTE col25 REAL
@ATTRIBUTE col26 REAL
@ATTRIBUTE col27 REAL
@ATTRIBUTE col28 REAL
@ATTRIBUTE col29 REAL
@ATTRIBUTE col30 REAL
@ATTRIBUTE col31 REAL
@ATTRIBUTE col32 REAL
@ATTRIBUTE col33 REAL
@ATTRIBUTE col34 REAL
@ATTRIBUTE col35 REAL
@ATTRIBUTE col36 REAL
@ATTRIBUTE col37 REAL
@ATTRIBUTE col38 REAL
@ATTRIBUTE col39 REAL
@ATTRIBUTE col40 REAL
@ATTRIBUTE col41 REAL
@ATTRIBUTE col42 REAL
@ATTRIBUTE col43 REAL
@ATTRIBUTE col44 REAL
@ATTRIBUTE col45 REAL
@ATTRIBUTE col46 REAL
@ATTRIBUTE col47 REAL
@ATTRIBUTE col48 REAL
@ATTRIBUTE col49 REAL
@ATTRIBUTE col50 REAL
@ATTRIBUTE col51 REAL
@ATTRIBUTE col52 REAL
@ATTRIBUTE col53 REAL
@ATTRIBUTE col54 REAL
@ATTRIBUTE col55 REAL
@ATTRIBUTE col56 REAL
@ATTRIBUTE col57 REAL
@ATTRIBUTE col58 REAL
@ATTRIBUTE col59 REAL
@ATTRIBUTE col60 REAL
@ATTRIBUTE col61 REAL
@ATTRIBUTE col62 REAL
@ATTRIBUTE col63 REAL
@ATTRIBUTE col64 REAL
@ATTRIBUTE col65 REAL
@ATTRIBUTE col66 REAL
@ATTRIBUTE col67 REAL
@ATTRIBUTE col68 REAL
@ATTRIBUTE col69 REAL
@ATTRIBUTE col70 REAL
@ATTRIBUTE col71 REAL
@ATTRIBUTE col72 REAL
@ATTRIBUTE col73 REAL
@ATTRIBUTE col74 REAL
@ATTRIBUTE col75 REAL
@ATTRIBUTE col76 REAL
@ATTRIBUTE col77 REAL
@ATTRIBUTE col78 REAL
@ATTRIBUTE col79 REAL
@ATTRIBUTE col80 REAL
@ATTRIBUTE col81 REAL
@ATTRIBUTE col82 REAL
@ATTRIBUTE col83 REAL
@ATTRIBUTE col84 REAL
@ATTRIBUTE col85 REAL
@ATTRIBUTE col86 REAL
@ATTRIBUTE col87 REAL
@ATTRIBUTE col88 REAL
@ATTRIBUTE col89 REAL
@ATTRIBUTE col90 REAL
@ATTRIBUTE col91 REAL
@ATTRIBUTE col92 REAL
@ATTRIBUTE col93 REAL
@ATTRIBUTE col94 REAL
@ATTRIBUTE col95 REAL
@ATTRIBUTE col96 REAL
@ATTRIBUTE col97 REAL
@ATTRIBUTE col98 REAL
@ATTRIBUTE col99 REAL
@ATTRIBUTE col100 REAL
@ATTRIBUTE col101 REAL
@ATTRIBUTE col102 REAL
@ATTRIBUTE col103 REAL
@ATTRIBUTE col104 REAL
@ATTRIBUTE col105 REAL
@ATTRIBUTE col106 REAL
@ATTRIBUTE col107 REAL
@ATTRIBUTE col108 REAL
@ATTRIBUTE col109 REAL
@ATTRIBUTE col110 REAL
@ATTRIBUTE col111 REAL
@ATTRIBUTE col112 REAL
@ATTRIBUTE col113 REAL
@ATTRIBUTE col114 REAL
@ATTRIBUTE col115 REAL
@ATTRIBUTE col116 REAL
@ATTRIBUTE col117 REAL
@ATTRIBUTE col118 REAL
@ATTRIBUTE col119 REAL
@ATTRIBUTE col120 REAL
@ATTRIBUTE col121 REAL
@ATTRIBUTE col122 REAL
@ATTRIBUTE col123 REAL
@ATTRIBUTE col124 REAL
@ATTRIBUTE col125 REAL
@ATTRIBUTE col126 REAL
@ATTRIBUTE col127 REAL
@ATTRIBUTE col128 REAL
@ATTRIBUTE col129 REAL
@ATTRIBUTE col130 REAL
@ATTRIBUTE col131 REAL
@ATTRIBUTE col132 REAL
@ATTRIBUTE col133 REAL
@ATTRIBUTE col134 REAL
@ATTRIBUTE col135 REAL
@ATTRIBUTE col136 REAL
@ATTRIBUTE col137 REAL
@ATTRIBUTE col138 REAL
@ATTRIBUTE col139 REAL
@ATTRIBUTE col140 REAL
@ATTRIBUTE col141 REAL
@ATTRIBUTE col142 REAL
@ATTRIBUTE col143 REAL
@ATTRIBUTE col144 REAL
@ATTRIBUTE col145 REAL

@DATA
F11,0,0.24,0.51,0.26,0.08,0.1,0.13,0.2,0.36,0.11,0.31,0,0.11,0.19,0.07,0.13,0.09,0.14,0.39,0.11,0.09,0.29,0.14,0.04,0.23,0.07,0.2,0.07,0.09,0.08,0.1,0.2,0.21,0.21,0.39,0.15,0.36,0.33,0.21,0.32,0.28,0.16,0.08,0.17,0.25,0.1,0.11,0.27,0.23,0.06,0.08,0.18,0.25,0.3,0.12,0.19,0.22,0.08,0.21,0.11,0.11,0.2,0.15,0.4,0.09,0.17,0.11,0.27,0.04,0.22,0.08,0.25,0.28,0.11,0.1,0.1,0.13,0.18,0.2,0.22,0.06,0.18,0.24,0.11,0.17,0.05,0.2,0.07,0.23,0.17,0.09,0.46,0.11,0.14,0.22,0.09,0.18,0.18,0.05,0.1,0.36,0.53,0.41,0.25,0.11,0.15,0.25,0.06,0.05,0.25,0.09,0.17,0.2,0.05,0.14,0.28,0.17,0.25,0.13,0.18,0.38,0.07,0.22,0.13,0.12,0.11,0.13,0.11,0.26,0.09,0.23,0.19,0.12,0.07,0.22,0.31,0.23,0.27,0.26,0.55,0.12,0.15,0.22,0.05,0.89,0.17
F12,0,0.16,0.3,0.26,0.06,0.02,0.26,0.25,0.36,0.13,0.21,0.11,0,0.13,0.15,0.05,0.14,0.12,0.24,0.08,0.1,0.41,0.08,0.06,0.19,0.14,0.26,0.24,0.09,0.06,0.11,0.09,0.22,0.22,0.32,0.18,0.24,0.45,0.08,0.28,0.18,0.15,0.08,0.16,0.12,0.19,0.18,0.51,0.14,0.11,0.03,0.62,0.3,0.28,0.13,0.2,0.21,0.07,0.11,0.1,0.22,0.1,0.21,0.33,0.12,0.19,0.16,0.14,0.05,0.13,0.13,0.13,0.13,0.08,0.17,0.07,0.26,0.08,0.12,0.19,0.08,0.12,0.29,0.08,0.12,0.08,0.12,0.09,0.04,0.24,0.06,0.31,0.35,0.11,0.15,0.18,0.2,0.14,0.08,0.04,0.21,0.54,0.31,0.2,0.12,0.11,0.1,0.21,0.19,0.2,0.09,0.35,0.1,0.09,0.22,0.18,0.19,0.19,0.13,0.19,0.29,0.03,0.16,0.11,0.17,0.07,0.1,0.07,0.16,0.08,0.26,0.17,0.09,0.05,0.33,0.39,0.39,0.18,0.17,0.87,0.1,0.14,0.23,0.03,0.76,0.12
F13,0,0.22,0.37,0.23,0.05,0.05,0.18,0.15,0.09,0.14,0.21,0.16,0.11,0,0.09,0.06,0.11,0.13,0.16,0.07,0.11,0.36,0.05,0.03,0.23,0.09,0.18,0.04,0.09,0.11,0.14,0.05,0.2,0.2,0.37,0.08,0.19,0.48,0.08,0.23,0.2,0.13,0.08,0.15,0.07,0.18,0.1,0.13,0.12,0.08,0.03,0.09,0.09,0.16,0.05,0.16,0.09,0.03,0.08,0.15,0.17,0.09,0.11,0.17,0.06,0.16,0.1,0.11,0.05,0.08,0.06,0.19,0.15,0.07,0.16,0.06,0.07,0.09,0.11,0.09,0.09,0.05,0.09,0.07,0.09,0.03,0.08,0.09,0.1,0.24,0.05,0.3,0.19,0.08,0.2,0.03,0.07,0.11,0.03,0.04,0.21,0.11,0.2,0.28,0.05,0.08,0.1,0.08,0.12,0.18,0.09,0.09,0.2,0.04,0.11,0.2,0.24,0.08,0.06,0.07,0.21,0.02,0.09,0.1,0.13,0.1,0.06,0.04,0.08,0.08,0.06,0.06,0.07,0.06,0.06,0.13,0.34,0.1,0.16,0.19,0.06,0.17,0.24,0.02,0.21,0.08
F14,0,0.33,0.49,0.27,0.14,0.07,0.15,0.18,0.27,0.14,0.54,0.11,0.24,0.17,0,0.08,0.16,0.09,0.22,0.06,0.18,0.44,0.17,0.03,1,0.22,1,0.07,0.09,0.2,0.16,0.15,0.27,0.27,0.24,0.11,0.29,0.17,0.14,0.12,0.24,0.5,0.13,0.25,0.33,0.1,0.11,0.25,0.21,0.12,0.09,0.48,0.28,0.23,0.23,0.18,0.24,0.13,0.2,0.19,0.12,0.49,0.23,0.29,0.13,0.13,0.16,0.32,0.06,0.18,0.07,0.2,0.18,0.1,0.11,0.07,0.17,0.26,0.16,0.27,0.07,0.16,0.22,0.16,0.34,0.07,0.01,0.16,0.07,0.3,0.08,0.4,0.17,0.22,0.14,0.32,0.08,0.15,0.05,0.05,0.19,0.42,0.33,0.35,0.11,0.1,0.13,0.18,0.47,0.41,0.09,0.13,0.15,0.11,0.17,0.24,0.33,0.09,0.12,0.13,0.7,0.11,0.15,0.21,0.19,0.13,0.18,0.16,0.21,0.08,0.2,0.19,0.28,0.08,0.98,1,0.27,0.11,0.27,0.3,0.07,0.16,0.32,0.05,0.62,0.28
F15,0,0.49,0.22,0.14,0.04,0.02,0.12,0.13,0.3,0.16,0.41,0.26,0.09,0.15,0.1,0,0.07,0.11,0.08,0.26,0.15,0.38,0.1,0.03,0.13,0.07,0.24,0.64,0.08,0.03,0.23,0.05,0.31,0.31,0.38,0.08,0.11,0.08,0.13,0.09,0.17,0.07,0.09,0.14,0.22,0.7,0.09,0.44,0.21,0.08,0.06,0.12,0.16,0.14,0.09,0.11,0.03,0.08,0.14,0.1,0.23,0.12,0.08,0.52,0.09,0.05,0.12,0.07,0.02,0.15,0.12,0.14,0.09,0.14,0.06,0.11,0.06,0.12,0.14,0.08,0.07,0.09,0.42,0.17,0.18,0.08,0.06,0.06,0.09,0.12,0.04,0.22,0.08,0.06,0.11,0.4,0.19,0.11,0.12,0.05,0.05,1,0.21,0.13,0.06,0.24,0.17,0.28,0.07,0.27,0.08,0.12,0.12,0.07,0.18,0.17,0.2,0.06,0.05,0.16,0.21,0.08,0.18,0.14,0.6,0.23,0.06,0.16,0.18,0.02,0.25,0.08,0.24,0.09,0.22,0.17,0.09,0.1,0.2,0.24,0.08,0.24,0.45,0.03,0.3,0.26
F16,0,0.18,0.88,0.19,0.04,0,0.16,0.23,0.22,0.36,0.25,0.41,0.71,0.64,0.48,0.15,0,0.19,0.1,0.06,0.25,0.25,0.24,0.1,0.05,0.39,0.13,0.08,0.44,0.07,0.15,0.12,0.78,0.78,0.34,0.12,0.09,0.07,0.08,0.55,0.35,0.03,1,0.09,0.59,1,0.48,0.22,0.09,0.32,0.56,0.03,0.27,0.06,0.19,0.09,1,0.08,0.2,0.33,0.22,0.65,0.14,0.46,0.13,0.17,0.22,0.26,0.25,0.11,0.16,0.24,0.06,0.1,0.15,0.19,0.11,0.48,0.37,0.28,1,0.2,0.56,0.38,0.12,0.12,0.19,1,0.31,0.29,0.1,0.1,0.1,0.34,0.2,0.08,0.28,0.23,0.13,0.04,0.03,0.38,0.44,1,0.04,0.52,0.15,0.49,0.39,0.3,0.44,0.27,0.35,0.06,0.43,0.35,0.18,0.16,1,0.15,0.55,0.1,0.25,0.56,0.32,0.42,0.03,0.35,0.19,0.22,0.07,0.39,0.05,0.56,0.1,0.17,0.55,1,0.1,0.07,0.22,0.61,0.27,1,1,0.07
F17,0,0.12,0.1,0.13,0.05,0.17,0.13,0.08,0.2,0.19,0.19,0.29,0.26,0.31,0.11,0.11,0.08,0,0.05,0.04,0.18,0.5,0.21,0.18,0.24,0.03,0.07,0.07,0.11,0.04,0.29,1,0.32,0.32,0.23,0.46,0.31,0.09,0.04,0.26,0.23,0.16,0.42,0.33,0.25,0.05,0.49,0.12,0.25,0.11,0.21,0.11,0.13,0.23,0.2,0.2,0.78,0.08,0.25,0.25,0.12,0.1,0.56,0.72,0.16,0.09,0.13,0.13,0.09,0.13,0.17,0.1,0.18,0.06,0.15,0.06,0.14,0.07,0.2,0.17,0.07,0.27,0.82,0.46,0.22,0.11,0.06,0.1,0.26,0.09,0.07,0.18,0.18,0.15,1,1,0.18,0.15,0.05,0.08,0.21,0.03,0.27,0.04,0.04,1,1,0.04,0.04,0.1,0.11,0.15,0.19,0.1,0.1,0.23,0.39,0.06,0.09,0.22,0.36,0.04,0.13,0.42,0.35,0.27,0.06,0.24,0.04,0.21,0.23,1,0.07,0.13,0.09,0.54,0.68,0.14,0.39,0.29,0.1,0.45,0.68,0.07,0.17,0.32
F18,0,0.47,0.18,0.13,0.1,0.08,0.04,0.12,0.18,0.19,0.18,0.72,0.47,0.35,0.26,0.08,0.04,0.04,0,0.11,0.13,0.28,0.08,0.08,0.1,0.06,0.1,0.17,0.25,0.05,0.14,0.13,0.33,0.33,0.27,0.34,0.23,0.07,0.11,0.1,0.1,0.21,0.18,0.08,0.25,0.18,0.29,0.12,0.23,0.1,0.18,0.06,0.2,0.18,0.09,0.1,0.16,0.03,0.16,0.22,0.22,0.07,0.13,0.18,0.1,0.03,0.16,0.08,0.05,0.13,0.19,0.21,0.06,0.07,0.1,0.1,0.14,0.31,0.19,0.1,0.08,0.12,0.25,0.34,0.15,0.05,0.07,0.16,0.13,0.16,0.05,0.13,0.09,0.16,0.39,0.18,0.2,1,0.05,0.06,0.1,0.12,0.16,0.08,0.04,0.11,0.14,0.06,0.1,0.11,0.25,0.14,0.38,0.04,0.06,0.1,0.16,0.04,0.07,0.16,0.23,0.07,0.1,0.29,0.22,0.16,0.08,0.1,0.03,0.09,0.06,0.1,0.06,0.05,0.09,0.1,0.08,0.07,0.17,0.19,0.04,0.17,0.16,0.05,0.21,0.2
F19,0,0.19,0.85,0.3,0.05,0.08,1,0.08,0.32,0.15,0.13,0.24,0.18,0.19,0.08,0.28,0.03,0.04,0.12,0,0.19,0.21,0.11,0.07,0.15,0.43,0.14,0.16,0.14,0.18,0.12,0.14,0.27,0.27,0.21,0.19,0.44,0.22,0.09,0.4,0.29,0.66,0.12,0.18,0.13,0.14,0.15,0.16,0.43,0.12,0.08,0.07,0.28,0.43,0.09,0.2,0.24,0.06,0.18,0.32,0.16,0.39,0.13,0.32,0.08,0.02,0.14,0.36,0.07,0.22,0.16,0.13,0.08,0.05,0.08,0.07,0.08,0.13,0.25,0.2,0.1,0.31,0.16,0.14,0.16,0.05,0.08,0.15,0.18,0.19,0.15,0.61,0.16,0.42,0.14,0.11,0.49,0.15,0.06,0.02,0.42,0.19,0.52,0.19,0.08,0.2,0.12,0.14,0.21,0.18,0.14,0.1,0.31,0.06,0.09,0.29,0.2,0.2,0.15,0.15,0.73,0.04,0.14,0.16,0.32,0.13,0.04,0.08,0.15,0.22,0.06,0.11,0.11,0.07,0.33,0.22,0.23,0.22,0.31,0.32,0.16,0.23,0.44,0.07,0.67,0.11
F20,0,0.2,0.27,0.21,0.13,0.08,0.11,0.29,0.26,0.16,0.16,0.14,0.15,0.21,0.17,0.11,0.08,0.13,0.1,0.13,0,0.18,0.06,0.02,0.23,0.1,0.19,0.12,0.11,0.04,0.12,0.09,0.19,0.19,0.3,0.2,0.26,0.2,0.06,0.05,0.21,0.04,0.08,0.12,0.16,0.18,0.2,0.54,0.27,0.05,0.08,0.22,0.36,0.39,0.14,0.27,0.19,0.1,0.35,0.16,0.26,0.15,0.13,0.19,0.11,0.36,0.25,0.15,0.1,0.16,0.13,0.17,0.15,0.1,0.11,0.06,0.28,0.23,0.24,0.14,0.06,0.17,0.15,0.18,0.2,0.07,0.18,0.07,0.3,0.17,0.05,0.38,0.13,0.09,0.4,0.55,0.13,0.13,0.06,0.05,0.07,0.54,0.63,0.08,0.08,0.1,0.28,0.09,0.11,0.2,0.11,0.44,0.17,0.05,0.18,0.21,0.18,0.16,0.12,0.21,0.24,0.07,0.11,0.17,0.19,0.1,0.12,0.1,0.23,0.2,0.08,0.24,0.11,0.1,0.31,0.26,0.3,0.09,0.25,0.23,0.09,0.1,0.18,0.02,0.32,0.32
F21,0,0.19,0.13,0.09,0.05,0.04,0.05,0.13,0.22,0.13,0.2,0.15,0.22,0.23,0.15,0.1,0.03,0.13,0.08,0.05,0.06,0,0.08,0.06,0.11,0.09,0.09,0.04,0.09,0.05,0.11,0.11,0.19,0.19,0.15,0.09,0.26,0.15,0.06,0.21,0.16,0.04,0.12,0.11,0.28,0.06,0.15,0.16,0.21,0.07,0.08,0.05,0.21,1,0.05,0.09,0.18,0.07,0.13,0.14,0.08,0.06,0.24,0.16,0.07,0.13,0.23,0.06,0.06,0.09,0.06,0.2,0.06,0.09,0.09,0.05,0.04,0.17,0.16,0.09,0.06,0.07,0.24,0.09,0.08,0.03,0.07,0.06,0.09,0.14,0.06,0.08,0.05,0.12,0.33,0.07,0.15,0.25,0.03,0.03,0.04,0.1,0.46,0.04,0.08,0.08,0.17,0.1,0.06,0.13,0.09,0.23,0.16,0.03,0.12,0.16,0.14,0.12,0.17,0.09,0.23,0.04,0.12,0.17,0.23,0.12,0.04,0.07,0.14,0.09,0.04,0.11,0.09,0.05,0.06,0.05,0.3,0.06,0.19,0.15,0.07,0.15,0.28,0.03,0.37,0.14
F22,0,0.62,0.29,0.21,0.08,0.05,0.25,0.17,0.36,0.15,0.09,0.31,0.17,0.14,0.23,0.11,0.11,0.23,0.1,0.11,0.08,0.34,0,0.03,0.29,0.3,0.34,0.2,0.16,0.07,0.12,0.08,0.27,0.27,0.31,0.11,0.3,0.25,0.04,0.27,0.17,0.2,0.19,0.08,0.13,0.2,0.35,0.23,0.19,0.13,0.1,0.32,0.16,0.33,0.17,0.21,0.13,0.13,0.17,0.11,0.46,0.2,0.22,0.28,0.3,0.68,0.27,0.19,0.07,0.13,0.15,0.21,0.12,0.11,0.14,0.08,0.26,0.15,0.22,0.18,0.1,0.19,0.13,0.17,0.18,0.09,0.08,0.14,0.17,0.13,0.09,0.2,0.61,0.08,0.29,0.09,0.12,0.2,0.04,0.04,0.1,0.08,0.41,0.11,0.08,0.11,0.09,0.17,0.16,0.22,0.16,0.33,0.12,0.08,0.16,0.17,0.2,0.07,0.11,0.19,0.1,0.08,0.11,0.11,0.34,0.1,0.11,0.08,0.13,0.06,0.16,0.06,0.17,0.05,0.38,0.1,0.19,0.19,0.16,0.27,0.1,0.36,0.15,0.03,0.27,0.26
F23,0,0.11,0.19,0.08,0.05,0.03,0.09,0.2,0.13,0.14,0.15,0.14,0.22,0.11,0.06,0.06,0.07,0.28,0.14,0.1,0.05,0.34,0.04,0,0.13,0.08,0.16,0.05,0.06,0.05,0.05,0.06,0.18,0.18,0.24,0.16,0.15,0.11,0.05,0.14,0.15,0.06,0.06,0.07,0.05,0.1,0.09,0.14,0.1,0.05,0.03,0.2,0.13,0.1,0.1,0.09,0.1,0.06,0.1,0.12,0.14,0.26,0.11,0.24,0.1,1,0.11,0.1,0.03,0.08,0.07,0.14,0.1,0.07,0.05,0.09,0.23,0.05,0.11,0.13,0.05,0.12,0.11,0.08,0.11,0.03,0.09,0.05,0.1,0.07,0.03,0.25,0.08,0.06,0.21,0.1,0.04,0.09,0.04,0.05,0.07,0.16,0.26,0.09,0.06,0.07,0.06,0.08,0.15,0.11,0.06,0.19,0.1,0.1,0.08,0.15,0.11,0.14,0.04,0.08,0.18,0.04,0.07,0.08,0.15,0.1,0.04,0.04,0.07,0.11,0.06,0.06,0.08,0.08,0.15,0.17,0.09,0.04,0.08,0.13,0.06,0.11,0.14,0.01,0.18,0.12
F24,0,0.14,0.29,0.05,0.02,0.07,0.06,0.31,0.19,0.56,0.2,0.37,0.31,0.45,1,0.11,0.02,0.19,0.09,0.11,0.25,0.33,0.21,0.06,0,0.01,0.17,0,0.12,0.05,0.19,0.15,0.42,0.42,0.13,0.02,0.11,0.13,0.1,0.09,0.16,0.05,0.31,0.09,0.37,1,0.16,0.11,0.15,0.36,0.09,0.06,0.18,0.21,0.38,0.07,0.15,0.12,0.06,0.33,0.1,0.1,0.18,0.29,0.1,1,0.13,0.1,0.08,0.26,0.2,0.13,0.08,0.03,0.06,0.37,0.03,0.14,0.18,0.15,0.12,0.14,0.42,0.39,0.16,0.07,0.12,0.18,0.31,0.14,0.07,0.14,0.1,0.11,0.54,0.26,0.14,0.13,0.08,0.09,0.02,0.26,0.18,1,0.05,0.1,0.08,0.17,0.16,0.14,0.12,0.16,0.13,0.03,0.07,0.16,0.1,0.04,0.05,0.31,0.17,0.1,0.15,0.42,0.43,0.41,0.08,0.07,0.06,0.66,0.05,0.09,0.03,0.2,0.08,0.12,0.15,0.12,0.08,0.19,0.17,0.26,0.21,0.07,0.17,0.06
F25,0,0.37,1,0.13,0.04,0.23,0.07,0.74,0.18,0.41,0.37,0.23,0.45,0.35,0.43,0.11,0.26,0.05,0.1,0.63,0.21,0.54,0.43,0.07,0.02,0,0.05,0.08,0.17,0.07,0.33,0.24,0.61,0.61,0.34,0.14,0.29,0.07,0.7,0.21,0.27,0.07,0.62,0.14,0.53,0.21,0.11,0.35,0.16,0.98,0.06,0.19,0.26,0.22,0.38,0.3,0.19,0.18,0.45,0.06,0.34,0.21,0.01,0.53,0.21,1,0.54,0.14,0.09,0.71,0.26,0.6,0.3,0.03,0.16,0.37,0.22,0.18,0.25,1,0.08,0.17,0.29,0.39,0.33,0.11,0.07,0.12,0.13,0.06,0.1,0.27,0.14,0.32,0.54,0.24,0.12,0.11,0.14,1,0.02,0.03,1,0.09,0,0.08,0.1,0.05,0.07,0.12,0.17,0.21,1,0.05,0.08,0.27,0.1,0.11,0.08,0.18,0.28,0.29,0.23,0.44,0.63,0.9,0.1,0.11,0.29,0.22,0.09,0.16,0.07,0.14,0.23,0.23,0.32,0.09,0.02,0.77,0.13,0.26,0.32,0.05,0.06,0.07
F26,0,0.17,0.14,0.16,0.08,0.05,0.07,0.35,0.06,0.54,0.3,0.29,0.4,0.32,0.92,0.17,0.04,0.05,0.08,0.1,0.19,0.24,0.22,0.07,0.16,0.02,0,0.12,0.15,0.01,0.51,0.17,0.42,0.42,0.25,0.1,0.17,0.09,0.09,0.35,0.19,0.06,0.17,0.07,0.55,0.78,0.18,0.33,0.11,0.2,0.21,0.13,0.21,0.12,0.07,0.14,0.07,0.1,0.22,0.23,0.47,0.4,0.14,0.43,0.09,0.1,0.2,0.07,0.05,0.12,0.07,0.35,0.1,0.04,0.11,0.11,0.13,0.07,0.23,0.25,0.18,0.08,0.2,0.11,0.43,0.07,0.06,0.15,0.12,0.14,0.04,0.51,0.15,0.07,0.11,0.11,0.35,0.05,0.22,0.14,0.14,0.25,0.26,1,0.05,0.15,0.13,0.07,0.09,1,0.15,0.82,0.6,0.11,0.42,0.19,0.2,0.22,0.08,0.36,0.34,0.08,0.2,0.28,0.31,0.24,0.08,0.2,0.3,0.1,0.21,0.09,0.23,0.17,0.12,0.31,0.68,1,0.72,0.73,0.1,0.2,0.39,0.12,0.25,0.38
F27,0,0.28,0.39,0.26,0.1,0.19,0.03,0.41,0.23,0.83,0.31,0.22,0.78,0.14,0.14,1,0.05,0.1,0.29,0.23,0.24,0.21,0.27,0.05,0,0.08,0.25,0,0.29,0.08,0.23,0.64,0.56,0.56,0.42,0.03,0.25,1,0.14,1,0.48,0.38,0.19,0.31,0.39,0.09,0.28,0.19,0.16,0.14,0.11,0.07,0.17,0.27,0.05,0.24,0.4,0.08,0.19,0.18,0.34,0.2,0.23,0.32,0.3,0.38,0.34,0.11,1,0.13,0.11,0.64,0.34,0.18,0.34,0.09,1,0.63,0.45,0.23,0.14,0.04,0.57,0.24,0.61,0.05,0.09,0.1,0.19,0.26,0.08,0.31,0.3,0.23,1,0.27,0.04,0.21,0.07,0.17,0.12,0.22,0.85,0.21,0.17,0.17,0.12,0.35,0.07,1,0.29,0.18,0.25,0.15,0.43,0.48,0.21,0.09,0.25,0.24,0.35,0.09,0.19,0.22,0.44,0.13,0.13,0.16,0.12,0.23,0.13,0.1,0.15,0.09,0.13,0.28,0.14,0.1,0.32,0.25,0.19,0.29,0.4,0.08,0.17,0.25
F28,0,0.16,0.23,0.08,0.06,0.05,0.1,0.13,0.15,0.09,0.22,0.11,0.11,0.13,0.07,0.05,0.12,0.06,0.17,0.08,0.09,0.21,0.09,0.02,0.09,0.07,0.13,0.12,0,0.05,0.1,0.14,0.13,0.13,0.17,0.07,0.14,0.07,0.1,0.09,0.12,0.06,0.06,0.14,0.11,0.12,0.06,0.15,0.08,0.06,0.04,0.11,0.16,0.14,0.14,0.07,0.09,0.04,0.12,0.12,0.12,0.25,0.11,0.16,0.08,0.38,0.13,0.09,0.03,0.08,0.07,0.09,0.04,0.06,0.05,0.05,0.1,0.04,0.07,0.16,0.06,0.13,0.19,0.1,0.12,0.04,0.09,0.03,0.1,0.06,0.04,0.16,0.1,0.07,0.11,0.11,0.05,0.05,0.03,0.05,0.08,0.34,0.15,0.02,0.04,0.07,0.05,0.04,0.03,0.11,0,0.1,0.09,0.03,0.09,0.12,0.13,0.1,0.04,0.11,0.26,0.05,0.1,0.09,0.12,0.08,0.04,0.06,0.12,0.14,0.09,0.06,0.05,0.08,0.14,0.13,0.1,0.06,0.12,0.12,0.05,0.13,0.16,0.01,0.2,0.08
F29,0,0.07,0,0.27,0.07,0.09,0.06,0.18,0.21,0.2,0.21,0.25,0.19,0.39,0.37,0.04,0.05,0.06,0.08,0.24,0.07,0.27,0.09,0.05,0.09,0.07,0.03,0.08,0.12,0,0.43,0.27,0.38,0.38,0.21,0.1,0.09,0.11,0.06,0.15,0.28,0.05,0.13,0.14,0.18,0.13,0.18,0.23,0.45,0.16,0.23,0.09,0.32,0.24,0.13,0.15,0.26,0.08,0.23,0.24,0.1,0.4,0.1,0.46,0.16,0.36,0.28,0.05,0.04,0.28,0.2,0.21,0.08,0.12,0.04,0.1,0.58,0.48,0.19,0.16,0.05,0.1,0.28,0.32,0.72,0.08,0.13,0.04,1,0.19,0.07,0.1,0.13,0.04,1,0.08,0.11,0.06,0.07,0.06,0.06,0.2,0.26,1,0.07,0.13,1,0.11,0.03,0.21,0.12,0.61,0.18,0.2,0.1,0.28,0.3,0.08,0.18,0.15,0.45,0.09,0.28,0.26,1,0.31,1,0.26,0.14,0.14,0.21,0.09,0.14,0.16,0.1,0.14,0.24,0.19,0.21,0.28,0.07,0.18,0.38,0.02,0.36,0.13
